facility_id,drug_id,batch_no,quantity,expiry_date,last_counted_at,source
f_in_002,d_asv,B26008,751,2027-02-21,2026-08-17,simulated
f_in_002,d_amoxicillin,E26008,292082,2027-11-23,2026-08-17,simulated
f_in_002,d_ceftriaxone,B26008,12095,2027-11-25,2026-08-17,simulated
f_in_002,d_salbutamol,B26007,444,2026-11-14,2026-08-17,simulated
f_in_002,d_salbutamol,B-OPEN,702,2027-01-08,2026-08-17,simulated
f_in_002,d_salbutamol,B25006,4652,2027-02-26,2026-08-17,simulated
f_in_002,d_salbutamol,B26008,4018,2027-05-24,2026-08-17,simulated
f_in_002,d_rhz_fdc,B26007,33758,2027-03-31,2026-08-17,simulated
f_in_002,d_iron_folic,E26004,705809,2027-12-26,2026-08-17,simulated
f_in_002,d_measles_rubella,B26007,1368,2027-02-21,2026-08-17,simulated
f_in_002,d_metformin,B26005,445387,2028-04-10,2026-08-17,simulated
f_in_002,d_amlodipine,B25003,55480,2028-01-08,2026-08-17,simulated
f_in_002,d_amlodipine,B26006,800368,2028-04-29,2026-08-17,simulated
f_in_003,d_al_fdc,E26009,1128,2027-04-29,2026-08-17,simulated
f_in_003,d_asv,E26009,164,2027-06-12,2026-08-17,simulated
f_in_003,d_amoxicillin,B26007,52856,2027-12-19,2026-08-17,simulated
f_in_003,d_ceftriaxone,E26007,227,2027-08-04,2026-08-17,simulated
f_in_003,d_salbutamol,B-OPEN,1635,2026-08-21,2026-08-17,simulated
f_in_003,d_salbutamol,B26003,1554,2026-11-01,2026-08-17,simulated
f_in_003,d_salbutamol,B26004,993,2027-08-13,2026-08-17,simulated
f_in_003,d_rhz_fdc,B26009,2231,2028-01-18,2026-08-17,simulated
f_in_003,d_oxytocin,B26007,438,2028-02-11,2026-08-17,simulated
f_in_003,d_iron_folic,E26009,35866,2028-08-12,2026-08-17,simulated
f_in_003,d_insulin,B26006,392,2027-04-29,2026-08-17,simulated
f_in_003,d_metformin,B26006,37920,2027-11-29,2026-08-17,simulated
f_in_004,d_al_fdc,B26005,5425,2027-03-18,2026-08-17,simulated
f_in_004,d_al_fdc,B26007,13291,2027-08-14,2026-08-17,simulated
f_in_004,d_al_fdc,B26006,696,2027-09-20,2026-08-17,simulated
f_in_004,d_asv,B26006,31,2027-10-19,2026-08-17,simulated
f_in_004,d_ors,B26010,4538,2027-04-09,2026-08-17,simulated
f_in_004,d_ors,B26009,3334,2028-01-13,2026-08-17,simulated
f_in_004,d_amoxicillin,E26008,37188,2027-02-16,2026-08-17,simulated
f_in_004,d_amoxicillin,B26009,8130,2027-03-22,2026-08-17,simulated
f_in_004,d_ceftriaxone,B26007,1288,2027-09-21,2026-08-17,simulated
f_in_004,d_ceftriaxone,E26006,1328,2027-10-14,2026-08-17,simulated
f_in_004,d_salbutamol,B26003,602,2026-11-29,2026-08-17,simulated
f_in_004,d_salbutamol,B26004,1112,2027-03-07,2026-08-17,simulated
f_in_004,d_rhz_fdc,B26003,5833,2027-01-24,2026-08-17,simulated
f_in_004,d_rhz_fdc,B26004,12853,2027-11-11,2026-08-17,simulated
f_in_004,d_magnesium_sulfate,B26006,264,2028-06-20,2026-08-17,simulated
f_in_004,d_iron_folic,B26006,16601,2028-06-18,2026-08-17,simulated
f_in_004,d_measles_rubella,B26005,86,2026-09-07,2026-08-17,simulated
f_in_004,d_measles_rubella,B25003,865,2026-09-18,2026-08-17,simulated
f_in_004,d_measles_rubella,B26006,564,2026-11-22,2026-08-17,simulated
f_in_004,d_measles_rubella,B26007,868,2026-12-01,2026-08-17,simulated
f_in_004,d_insulin,B26006,99,2027-05-31,2026-08-17,simulated
f_in_004,d_insulin,E26005,418,2027-09-06,2026-08-17,simulated
f_in_004,d_metformin,B26009,28407,2028-01-17,2026-08-17,simulated
f_in_004,d_metformin,E26008,23253,2028-07-02,2026-08-17,simulated
f_in_004,d_amlodipine,B26006,12021,2027-10-28,2026-08-17,simulated
f_in_004,d_amlodipine,B25002,148189,2027-11-25,2026-08-17,simulated
f_in_004,d_amlodipine,B25003,154923,2028-01-10,2026-08-17,simulated
f_in_004,d_amlodipine,B26005,131186,2028-03-31,2026-08-17,simulated
f_in_005,d_ors,B26006,6284,2028-10-31,2026-08-17,simulated
f_in_005,d_amoxicillin,E26010,6123,2027-05-22,2026-08-17,simulated
f_in_005,d_amoxicillin,B26011,706,2027-09-17,2026-08-17,simulated
f_in_005,d_ceftriaxone,E26005,171,2027-10-06,2026-08-17,simulated
f_in_005,d_salbutamol,B26006,101,2027-07-31,2026-08-17,simulated
f_in_005,d_salbutamol,B26007,253,2028-03-11,2026-08-17,simulated
f_in_005,d_rhz_fdc,B26010,577,2027-02-10,2026-08-17,simulated
f_in_005,d_rhz_fdc,E26009,380,2027-12-28,2026-08-17,simulated
f_in_005,d_magnesium_sulfate,B26006,60,2027-08-27,2026-08-17,simulated
f_in_005,d_iron_folic,B26007,46720,2027-06-29,2026-08-17,simulated
f_in_005,d_measles_rubella,E26007,23,2027-02-15,2026-08-17,simulated
f_in_005,d_insulin,B26007,13,2028-01-17,2026-08-17,simulated
f_in_005,d_metformin,B26009,12309,2027-04-03,2026-08-17,simulated
f_in_005,d_metformin,B26007,28971,2027-09-01,2026-08-17,simulated
f_in_005,d_metformin,B25005,18982,2027-11-04,2026-08-17,simulated
f_in_005,d_metformin,B25003,25512,2027-11-05,2026-08-17,simulated
f_in_005,d_metformin,B26006,29140,2028-01-19,2026-08-17,simulated
f_in_005,d_metformin,B26008,21264,2028-06-16,2026-08-17,simulated
f_in_005,d_amlodipine,B26006,23055,2027-08-05,2026-08-17,simulated
f_in_006,d_al_fdc,E26008,605,2027-12-07,2026-08-17,simulated
f_in_006,d_asv,E26009,45,2028-02-02,2026-08-17,simulated
f_in_006,d_ors,B26007,2102,2027-12-25,2026-08-17,simulated
